nohup: ignoring input
INFO 2026-02-24 09:11:25,947 autoreload 56866 124455267594368 Watching for file changes with StatReloader
INFO 2026-02-24 09:11:26,325 server 56866 124455196194496 HTTP/2 support not enabled (install the http2 and tls Twisted extras)
INFO 2026-02-24 09:11:26,325 server 56866 124455196194496 HTTP/2 support not enabled (install the http2 and tls Twisted extras)
INFO 2026-02-24 09:18:02,045 runserver 56866 124455196194496 HTTP GET /api/v1/assets/e2105e63-498a-4c44-a33f-08c2b3d2e9c1/ 200 [0.03, 127.0.0.1:50000]
DEBUG 2026-02-24 09:18:10,428 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 54476]
DEBUG 2026-02-24 09:18:10,428 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 54476]
DEBUG 2026-02-24 09:18:10,545 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 54476]
DEBUG 2026-02-24 09:18:10,545 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 54476]
DEBUG 2026-02-24 09:18:10,545 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 54476]
DEBUG 2026-02-24 09:18:10,545 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 54476]
DEBUG 2026-02-24 09:18:10,545 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 54476]
DEBUG 2026-02-24 09:18:10,545 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 54476]
INFO 2026-02-24 09:18:10,545 runserver 56866 124455196194496 HTTP GET /api/v1/assets/?page=1 200 [0.12, 127.0.0.1:54476]
DEBUG 2026-02-24 09:18:14,642 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 54492]
DEBUG 2026-02-24 09:18:14,642 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 54492]
DEBUG 2026-02-24 09:18:14,662 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 54492]
DEBUG 2026-02-24 09:18:14,662 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 54492]
DEBUG 2026-02-24 09:18:14,662 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 54492]
DEBUG 2026-02-24 09:18:14,662 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 54492]
DEBUG 2026-02-24 09:18:14,662 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 54492]
DEBUG 2026-02-24 09:18:14,662 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 54492]
INFO 2026-02-24 09:18:14,662 runserver 56866 124455196194496 HTTP GET /api/v1/bookings/?role=RENTER 200 [0.02, 127.0.0.1:54492]
DEBUG 2026-02-24 09:18:14,666 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 54504]
DEBUG 2026-02-24 09:18:14,666 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 54504]
DEBUG 2026-02-24 09:18:14,681 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 54504]
DEBUG 2026-02-24 09:18:14,681 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 54504]
DEBUG 2026-02-24 09:18:14,682 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 54504]
DEBUG 2026-02-24 09:18:14,682 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 54504]
DEBUG 2026-02-24 09:18:14,682 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 54504]
DEBUG 2026-02-24 09:18:14,682 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 54504]
INFO 2026-02-24 09:18:14,682 runserver 56866 124455196194496 HTTP GET /api/v1/bookings/?role=RENTER 200 [0.02, 127.0.0.1:54504]
DEBUG 2026-02-24 09:18:19,664 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 43708]
DEBUG 2026-02-24 09:18:19,664 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 43708]
DEBUG 2026-02-24 09:18:19,684 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 43708]
DEBUG 2026-02-24 09:18:19,684 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 43708]
DEBUG 2026-02-24 09:18:19,685 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 43708]
DEBUG 2026-02-24 09:18:19,685 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 43708]
DEBUG 2026-02-24 09:18:19,687 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 43708]
DEBUG 2026-02-24 09:18:19,687 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 43708]
INFO 2026-02-24 09:18:19,687 runserver 56866 124455196194496 HTTP GET /api/v1/users/me/ 200 [0.02, 127.0.0.1:43708]
DEBUG 2026-02-24 09:18:20,001 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 43710]
DEBUG 2026-02-24 09:18:20,001 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 43710]
DEBUG 2026-02-24 09:18:20,016 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 43710]
DEBUG 2026-02-24 09:18:20,016 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 43710]
DEBUG 2026-02-24 09:18:20,017 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 43710]
